Rule,Normal,Anomaly
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
false,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
false,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
false,0.370000,0.630000
false,0.370000,0.630000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
false,0.390000,0.610000
true,0.390000,0.610000
false,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
false,0.360000,0.640000
false,0.360000,0.640000
true,0.390000,0.610000
false,0.390000,0.610000
true,0.340000,0.660000
true,0.410000,0.590000
false,0.410000,0.590000
true,0.410000,0.590000
false,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.400000,0.600000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.400000,0.600000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
false,0.390000,0.610000
true,0.390000,0.610000
false,0.390000,0.610000
true,0.390000,0.610000
false,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
true,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.400000,0.600000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.400000,0.600000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.400000,0.600000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.410000,0.590000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.400000,0.600000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
false,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.390000,0.610000
true,0.410000,0.590000
